filename,image_url
51.4561411_0.14766111_90.jpg,https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.4561411_0.14766111_90.jpg
51.45657546_0.144623681_90.jpg,https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.45657546_0.144623681_90.jpg
51.45805625_0.134666834_0.jpg,https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.45805625_0.134666834_0.jpg
51.45805625_0.134666834_90.jpg,https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.45805625_0.134666834_90.jpg
51.45857621_-0.305779761_0.jpg,https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.45857621_-0.305779761_0.jpg
51.45857621_-0.305779761_90.jpg,https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.45857621_-0.305779761_90.jpg
51.45964224_-0.306317475_0.jpg,https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.45964224_-0.306317475_0.jpg
51.45964224_-0.306317475_90.jpg,https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.45964224_-0.306317475_90.jpg
51.45997465_-0.011442821_0.jpg,https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.45997465_-0.011442821_0.jpg
51.45997465_-0.011442821_90.jpg,https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.45997465_-0.011442821_90.jpg
51.46005468_-0.311955569_90.jpg,https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.46005468_-0.311955569_90.jpg
51.46087006_-0.129234123_0.jpg,https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.46087006_-0.129234123_0.jpg
51.46120641_-0.010843762_90.jpg,https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.46120641_-0.010843762_90.jpg
51.46125069_-0.301980242_90.jpg,https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.46125069_-0.301980242_90.jpg
51.46160752_-0.303213674_0.jpg,https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.46160752_-0.303213674_0.jpg
51.46218957_0.005996921_0.jpg,https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.46218957_0.005996921_0.jpg
51.46276313_-0.010194845_0.jpg,https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.46276313_-0.010194845_0.jpg
51.46314929_-0.159368198_0.jpg,https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.46314929_-0.159368198_0.jpg
51.4638346_-0.162308197_0.jpg,https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.4638346_-0.162308197_0.jpg
51.46488428_-0.038135853_0.jpg,https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.46488428_-0.038135853_0.jpg
51.46544066_-0.066438142_0.jpg,https://raw.githubusercontent.com/everyday-day/street-images/main/image_for_evaluation/51.46544066_-0.066438142_0.jpg
